date,sh_index_000001,csi300_fund_050002,bond_pure_000015,dividend_100032,money_market_000198,gold_000216,nasdaq_000834,proxy_bond_qdii,proxy_quant_a,proxy_oil,proxy_global_tech
2015-02-03,3204.907,1.0147,1.067,1.408,1.0218278177640527,0.962,0.995,0.9148745519713259,0.9924687010954616,1.0847851335656213,0.37365037896399284
2015-02-04,3174.126,1.0068,1.067,1.399,1.021883257282834,0.95,0.992,0.9139784946236559,0.9847417840375586,1.067363530778165,0.3733441081615633
2015-02-05,3136.531,0.9985,1.068,1.381,1.0219386998095,0.951,1.001,0.9139784946236559,0.9766236306729266,1.0847851335656213,0.3776318993955764
2015-02-06,3075.907,0.9849,1.069,1.354,1.0219941453442138,0.95,0.993,0.9139784946236559,0.9633215962441315,1.0859465737514518,0.3751817329761403
2015-02-09,3095.124,0.9943,1.07,1.353,1.0221604999982745,0.935,0.991,0.9148745519713259,0.9725156494522692,1.0882694541231128,0.3733441081615633
2015-02-10,3141.593,1.0118,1.07,1.376,1.022215957566812,0.937,1.005,0.9157706093189963,0.9896322378716745,1.0778164924506388,0.37732562859314683
2015-02-11,3157.704,1.0205,1.073,1.381,1.0222714181442134,0.932,1.008,0.9166666666666665,0.9981416275430359,1.0731707317073171,0.37824444100043536
2015-02-12,3173.416,1.0251,1.074,1.384,1.022326881730642,0.922,1.019,0.9175627240143368,1.0026408450704225,1.0929152148664343,0.3816134198271599
2015-02-13,3203.827,1.0317,1.074,1.401,1.022382348326261,0.928,1.026,0.9175627240143368,1.0090962441314555,1.1231126596980254,0.3828385030368779
2015-02-16,3222.363,1.04,1.076,1.41,1.022548766169894,0.931,1.026,0.9175627240143368,1.0172143974960877,1.1196283391405342,0.38253223223444843
2015-02-17,3246.906,1.0468,1.077,1.421,1.0226042448039077,0.926,1.027,0.918458781362007,1.023865414710485,1.121951219512195,0.38375731544416636
2015-02-25,3228.843,1.0346,1.079,1.416,1.0230481822499848,0.917,1.041,0.9238351254480285,1.0119327073552427,1.0987224157955864,0.3880451066781794
2015-02-26,3298.359,1.0592,1.079,1.441,1.0231036879799404,0.917,1.046,0.9265232974910393,1.0359937402190922,1.0847851335656213,0.3874325650733204
2015-02-27,3310.303,1.061,1.08,1.442,1.023159196721373,0.918,1.042,0.9283154121863798,1.037754303599374,1.0824622531939605,0.3859012110611729
2015-03-02,3336.285,1.0672,1.08,1.463,1.0233257410161667,0.927,1.053,0.9310035842293906,1.0438184663536776,1.0743321718931476,0.3889639190854679
2015-03-03,3263.052,1.0407,1.079,1.443,1.0233812618051412,0.918,1.048,0.9318996415770608,1.0178990610328638,1.0778164924506388,0.3871262942708909
2015-03-04,3279.533,1.0483,1.079,1.453,1.0234367856064097,0.916,1.044,0.9318996415770608,1.0253325508607198,1.0743321718931476,0.3852886694563139
2015-03-05,3248.476,1.0375,1.078,1.44,1.0234923124201358,0.911,1.047,0.9310035842293906,1.0147691705790298,1.0708478513356563,0.3855949402587434
2015-03-06,3241.187,1.0347,1.077,1.438,1.0235478422464828,0.909,1.035,0.9318996415770608,1.0120305164319248,1.0534262485481998,0.3810008782223009
2015-03-09,3302.408,1.0539,1.078,1.463,1.0237144498028832,0.892,1.04,0.9310035842293906,1.0308098591549297,1.0418118466898956,0.38222596143201887
2015-03-10,3286.068,1.0492,1.077,1.463,1.0237699916813483,0.885,1.024,0.9301075268817204,1.0262128325508606,1.018583042973287,0.37671308698828787
2015-03-11,3290.9,1.0523,1.078,1.468,1.0238255365732516,0.884,1.019,0.92921146953405,1.0292449139280127,1.0209059233449478,0.37579427458099934
2015-03-12,3349.323,1.0737,1.079,1.485,1.0238810844787567,0.886,1.027,0.9283154121863798,1.0501760563380282,1.0174216027874565,0.3810008782223009
2015-03-13,3372.911,1.0809,1.078,1.498,1.0239366353980268,0.882,1.023,0.9274193548387095,1.057218309859155,1.005807200929152,0.37824444100043536
2015-03-16,3449.305,1.107,1.079,1.528,1.0241033062400642,0.883,1.036,0.9265232974910393,1.0827464788732395,1.0092915214866434,0.38314477383930734
2015-03-17,3502.847,1.1211,1.078,1.55,1.0241588692160306,0.876,1.037,0.9247311827956989,1.096537558685446,1.0104529616724738,0.38222596143201887
2015-03-18,3577.301,1.1456,1.077,1.585,1.0242144352065798,0.869,1.046,0.9229390681003583,1.1205007824726134,1.0348432055749128,0.3855949402587434
2015-03-19,3582.271,1.1434,1.077,1.593,1.0242700042118755,0.882,1.046,0.9229390681003583,1.1183489827856026,1.0255516840882695,0.3852886694563139
2015-03-20,3617.318,1.1571,1.078,1.606,1.0243255762320813,0.882,1.054,0.9229390681003583,1.1317488262910798,1.0371660859465737,0.3889639190854679
2015-03-23,3687.728,1.1806,1.078,1.636,1.0244923103837944,0.89,1.05,0.922043010752688,1.1547339593114243,1.0360046457607432,0.3877388358757499
2015-03-24,3691.41,1.176,1.077,1.642,1.024547894465276,0.894,1.047,0.9229390681003583,1.1502347417840375,1.0348432055749128,0.3855949402587434
2015-03-25,3660.727,1.1659,1.075,1.635,1.0246034815624856,0.895,1.021,0.9238351254480285,1.1403560250391236,1.042973286875726,0.37793817019800585
2015-03-26,3682.095,1.172,1.072,1.639,1.0246590716755866,0.905,1.016,0.9238351254480285,1.146322378716745,1.0418118466898956,0.37824444100043536
2015-03-27,3691.096,1.1793,1.07,1.653,1.024714664804743,0.904,1.022,0.9247311827956989,1.153462441314554,1.032520325203252,0.37977579501258285
2015-03-30,3786.568,1.2149,1.068,1.691,1.0248814622901798,0.898,1.033,0.9274193548387095,1.1882824726134587,1.0476190476190477,0.38406358624659587
2015-03-31,3747.899,1.2059,1.065,1.681,1.0249370674851934,0.886,1.023,0.92921146953405,1.1794796557120502,1.042973286875726,0.3810008782223009
2015-04-01,3810.294,1.2275,1.066,1.712,1.0249926756970806,0.89,1.021,0.932795698924731,1.2006064162754304,1.0464576074332173,0.37977579501258285
2015-04-02,3825.784,1.2294,1.068,1.737,1.025048286926005,0.903,1.021,0.9345878136200715,1.2024647887323945,1.051103368176539,0.3803883366174418
2015-04-03,3863.929,1.2415,1.068,1.768,1.0251039011721301,0.9,1.021,0.9345878136200715,1.2142996870109546,1.051103368176539,0.38008206581501236
2015-04-07,3961.378,1.2689,1.069,1.818,1.0253263883319137,0.907,1.026,0.9345878136200715,1.2410993740219092,1.0766550522648084,0.3810008782223009
2015-04-08,3994.811,1.2846,1.068,1.827,1.025382017666499,0.909,1.033,0.939964157706093,1.2564553990610328,1.0720092915214867,0.38406358624659587
2015-04-09,3957.534,1.2761,1.069,1.814,1.0254376500192672,0.896,1.04,0.9426523297491038,1.248141627543036,1.0882694541231128,0.3849823986538844
2015-04-10,4034.31,1.3028,1.07,1.858,1.0254932853903824,0.897,1.045,0.9471326164874551,1.2742566510172144,1.0929152148664343,0.3859012110611729
2015-04-13,4121.715,1.3226,1.071,1.891,1.0256602096154477,0.906,1.043,0.953405017921147,1.293622848200313,1.0871080139372824,0.38406358624659587
2015-04-14,4135.565,1.3226,1.073,1.893,1.0257158570615883,0.898,1.04,0.9525089605734766,1.293622848200313,1.1010452961672474,0.38375731544416636
2015-04-15,4084.163,1.3053,1.075,1.85,1.025771507526895,0.894,1.046,0.9525089605734766,1.2767018779342723,1.126596980255517,0.3843698570490253
2015-04-16,4194.823,1.3428,1.076,1.887,1.0258271610115313,0.902,1.044,0.953405017921147,1.3133802816901408,1.1289198606271778,0.38375731544416636
2015-04-17,4287.296,1.3633,1.076,1.905,1.025882817515661,0.901,1.029,0.9507168458781361,1.3334311424100156,1.1173054587688733,0.37824444100043536
2015-04-20,4217.077,1.3399,1.081,1.869,1.026049805146649,0.907,1.045,0.9507168458781361,1.3105438184663538,1.121951219512195,0.38222596143201887
2015-04-21,4293.623,1.3685,1.084,1.909,1.0261054737303907,0.895,1.05,0.9507168458781361,1.3385172143974962,1.1103368176538908,0.38314477383930734
2015-04-22,4398.494,1.4022,1.083,1.961,1.0261611453344452,0.901,1.055,0.9516129032258064,1.3714788732394365,1.113821138211382,0.3846761278514549
2015-04-23,4414.508,1.4027,1.083,1.965,1.026216819958976,0.889,1.06,0.953405017921147,1.3719679186228482,1.1231126596980254,0.3859012110611729
2015-04-24,4393.686,1.3897,1.082,1.946,1.0262724976041475,0.896,1.074,0.954301075268817,1.359252738654147,1.121951219512195,0.3862074818636024
2015-04-27,4527.396,1.4215,1.083,1.975,1.026439548665143,0.888,1.072,0.9560931899641576,1.3903560250391236,1.1242740998838558,0.38406358624659587
2015-04-28,4476.215,1.4057,1.084,1.939,1.026495238394515,0.902,1.07,0.9569892473118279,1.3749021909233177,1.1254355400696865,0.3834510446417369
2015-04-29,4476.62,1.4151,1.085,1.956,1.026550931145347,0.906,1.062,0.9587813620071685,1.3840962441314555,1.1289198606271778,0.3806946074198714
2015-04-30,4441.655,1.4097,1.086,1.958,1.0266066269178027,0.901,1.045,0.9596774193548385,1.3788145539906103,1.1277584204413473,0.37456919137128136
2015-05-04,4480.464,1.4224,1.088,1.984,1.026829440227143,0.889,1.064,0.9605734767025089,1.3912363067292646,1.1254355400696865,0.38008206581501236
2015-05-05,4298.706,1.3657,1.088,1.905,1.0268851511101773,0.892,1.047,0.9596774193548385,1.335778560250391,1.121951219512195,0.3751817329761403
2015-05-06,4229.266,1.3554,1.088,1.868,1.0269408650158192,0.896,1.04,0.9578853046594981,1.3257042253521127,1.1196283391405342,0.3742629205688518
2015-05-07,4112.214,1.3362,1.089,1.827,1.0269965819442326,0.889,1.046,0.9551971326164874,1.306924882629108,1.1056910569105691,0.37640681618585836
2015-05-08,4205.917,1.3617,1.091,1.87,1.0270523018955817,0.891,1.059,0.9587813620071685,1.3318661971830985,1.1207897793263646,0.38130714902473045
2015-05-11,4333.584,1.3979,1.093,1.934,1.0272194798888827,0.89,1.054,0.9614695340501791,1.367273082942097,1.1068524970963995,0.38008206581501236
2015-05-12,4401.219,1.4134,1.094,1.962,1.0272752119336146,0.889,1.053,0.9623655913978494,1.382433489827856,1.10801393728223,0.37916325340772383
2015-05-13,4375.76,1.4064,1.096,1.957,1.027330947002102,0.895,1.054,0.96415770609319,1.375586854460094,1.1103368176538908,0.3788569826052944
2015-05-14,4378.311,1.3972,1.1,1.958,1.0273866850945093,0.909,1.069,0.96505376344086,1.3665884194053208,1.1114982578397212,0.3828385030368779
2015-05-15,4308.691,1.3745,1.101,1.929,1.0274424262110005,0.911,1.069,0.9668458781362006,1.3443857589984352,1.1114982578397212,0.38314477383930734
2015-05-18,4283.491,1.3637,1.103,1.928,1.0276096677066178,0.918,1.073,0.9695340501792115,1.333822378716745,1.1114982578397212,0.3849823986538844
2015-05-19,4417.552,1.4097,1.102,1.985,1.0276654209210854,0.912,1.072,0.9722222222222221,1.3788145539906103,1.097560975609756,0.3846761278514549
2015-05-20,4446.288,1.4194,1.102,2.012,1.027721177160457,0.902,1.075,0.9731182795698924,1.388302034428795,1.0952380952380951,0.3843698570490253
2015-05-21,4529.422,1.4494,1.102,2.07,1.0277769364248972,0.905,1.081,0.9740143369175626,1.4176447574334898,1.1056910569105691,0.3849823986538844
2015-05-22,4657.596,1.4846,1.103,2.118,1.02783269871457,0.904,1.081,0.974910394265233,1.452073552425665,1.1045296167247387,0.3846761278514549
2015-05-25,4813.798,1.5316,1.102,2.178,1.028000003736625,0.9,1.081,0.974910394265233,1.4980438184663538,1.1022067363530779,0.3849823986538844
2015-05-26,4910.897,1.5604,1.102,2.224,1.0280557781288695,0.895,1.069,0.9767025089605734,1.5262128325508608,1.083623693379791,0.3803883366174418
2015-05-27,4941.714,1.5545,1.102,2.232,1.0281115555471674,0.889,1.087,0.9767025089605734,1.5204420970266042,1.0824622531939605,0.3846761278514549
2015-05-28,4620.266,1.4515,1.1,2.098,1.0281673359916825,0.887,1.084,0.9758064516129031,1.4196987480438186,1.0778164924506388,0.38406358624659587
2015-05-29,4611.744,1.4538,1.097,2.101,1.0282231194625795,0.888,1.078,0.9731182795698924,1.4219483568075117,1.0731707317073171,0.3819196906295894
2015-06-01,4828.738,1.5235,1.097,2.213,1.0283904880352026,0.885,1.084,0.9722222222222221,1.490121283255086,1.067363530778165,0.3828385030368779
2015-06-02,4910.527,1.547,1.097,2.273,1.0284462836132684,0.888,1.081,0.9740143369175626,1.5131064162754304,1.0743321718931476,0.38222596143201887
2015-06-03,4909.978,1.5455,1.098,2.278,1.0285020822185371,0.888,1.084,0.9731182795698924,1.5116392801251957,1.0708478513356563,0.38375731544416636
2015-06-04,4947.102,1.5555,1.099,2.297,1.0285578838511726,0.882,1.076,0.9722222222222221,1.5214201877934272,1.0545876887340302,0.37977579501258285
2015-06-05,5023.096,1.5746,1.099,2.337,1.0286136885113395,0.879,1.074,0.9722222222222221,1.5401017214397497,1.0580720092915215,0.37977579501258285
2015-06-08,5131.881,1.6063,1.1,2.379,1.0287811206586701,0.877,1.064,0.9731182795698924,1.5711071987480438,1.0522648083623694,0.3770193577907174
2015-06-09,5113.534,1.5843,1.1,2.377,1.0288369374306048,0.879,1.062,0.9713261648745519,1.5495892018779343,1.0557491289198606,0.37640681618585836
2015-06-10,5106.036,1.5868,1.1,2.38,1.028892757230892,0.885,1.075,0.974910394265233,1.552034428794992,1.0708478513356563,0.3806946074198714
2015-06-11,5121.593,1.588,1.1,2.382,1.0289485800596962,0.884,1.075,0.9767025089605734,1.55320813771518,1.067363530778165,0.3819196906295894
2015-06-12,5166.35,1.599,1.1,2.424,1.0290044059171817,0.883,1.067,0.9793906810035841,1.5639671361502347,1.0557491289198606,0.38008206581501236
2015-06-15,5062.993,1.5636,1.1,2.397,1.0291719016633687,0.884,1.063,0.978494623655914,1.529342723004695,1.0522648083623694,0.37824444100043536
2015-06-16,4887.432,1.5174,1.101,2.315,1.0292277396372225,0.887,1.068,0.9767025089605734,1.484154929577465,1.0592334494773519,0.3803883366174418
2015-06-17,4967.898,1.5409,1.101,2.364,1.0292835806405793,0.881,1.071,0.9775985663082436,1.507140062597809,1.0615563298490127,0.3806946074198714
2015-06-18,4785.356,1.4847,1.101,2.315,1.0293394246736034,0.887,1.085,0.978494623655914,1.4521713615023473,1.0638792102206738,0.3846761278514549
2015-06-19,4478.364,1.4066,1.101,2.185,1.0293952717364592,0.894,1.08,0.9793906810035841,1.3757824726134587,1.056910569105691,0.38406358624659587
2015-06-23,4576.492,1.4548,1.101,2.212,1.029618690289487,0.886,1.089,0.9820788530465949,1.422926447574335,1.0731707317073171,0.3871262942708909
2015-06-24,4690.15,1.4829,1.101,2.266,1.0296745525039674,0.875,1.084,0.9820788530465949,1.4504107981220657,1.0696864111498259,0.3849823986538844
2015-06-25,4527.779,1.4342,1.102,2.198,1.0297304177492657,0.878,1.081,0.9820788530465949,1.4027777777777777,1.0592334494773519,0.3849823986538844
2015-06-26,4192.873,1.3302,1.102,2.05,1.0297862860255467,0.877,1.074,0.9802867383512545,1.301056338028169,1.0592334494773519,0.3846761278514549
2015-06-29,4053.03,1.2918,1.102,1.989,1.0299539090419296,0.879,1.05,0.9775985663082436,1.2634976525821597,1.0383275261324043,0.37671308698828787
2015-06-30,4277.222,1.3737,1.102,2.082,1.0300097894437854,0.877,1.053,0.978494623655914,1.3436032863849765,1.0406504065040652,0.37793817019800585
2015-07-01,4053.7,1.3058,1.102,1.983,1.0300656728774462,0.875,1.062,0.978494623655914,1.277190923317684,1.032520325203252,0.3810008782223009
2015-07-02,3912.767,1.2644,1.102,1.89,1.0301215593430764,0.869,1.063,0.9811827956989246,1.236697965571205,1.0360046457607432,0.3803883366174418
2015-07-03,3686.915,1.1956,1.102,1.783,1.0301774488408404,0.872,1.063,0.9802867383512545,1.1694053208137716,1.0336817653890824,0.3803883366174418
2015-07-06,3775.912,1.2297,1.105,1.801,1.0303451355285809,0.872,1.059,0.9758064516129031,1.2027582159624413,1.0174216027874565,0.3788569826052944
2015-07-07,3727.125,1.212,1.11,1.735,1.0304010371565258,0.873,1.062,0.9713261648745519,1.1854460093896713,1.018583042973287,0.3803883366174418
2015-07-08,3507.192,1.1273,1.114,1.654,1.0304569418174272,0.856,1.045,0.954301075268817,1.1026017214397497,1.005807200929152,0.3742629205688518
2015-07-09,3709.33,1.2017,1.113,1.755,1.0305128495114495,0.868,1.044,0.9587813620071685,1.175371674491393,1.0116144018583042,0.3751817329761403
2015-07-10,3877.803,1.2686,1.113,1.852,1.0305687602387577,0.868,1.06,0.9668458781362006,1.2408059467918622,1.018583042973287,0.3806946074198714
2015-07-13,3970.388,1.3028,1.113,1.925,1.0307365106220414,0.865,1.076,0.9695340501792115,1.2742566510172144,1.0255516840882695,0.3846761278514549
2015-07-14,3924.487,1.2694,1.114,1.905,1.0307924334841378,0.861,1.084,0.9713261648745519,1.2415884194053208,1.0313588850174216,0.38651375266603194
2015-07-15,3805.703,1.2263,1.114,1.825,1.0308483593803428,0.863,1.085,0.9722222222222221,1.1994327073552424,1.024390243902439,0.3862074818636024
2015-07-16,3823.176,1.2364,1.114,1.842,1.030904288310821,0.857,1.1,0.9740143369175626,1.2093114241001564,1.0255516840882695,0.3892701898878974
2015-07-17,3957.352,1.2828,1.113,1.912,1.0309602202757373,0.856,1.116,0.9767025089605734,1.2546948356807512,1.0150987224157957,0.38988273149275643
2015-07-20,3992.11,1.287,1.114,1.922,1.0311280343787588,0.835,1.12,0.9793906810035841,1.2588028169014085,1.0034843205574913,0.391414085504904
2015-07-21,4017.675,1.292,1.115,1.938,1.0311839784830727,0.828,1.119,0.9811827956989246,1.2636932707355244,1.0023228803716608,0.3895764606903269
2015-07-22,4026.045,1.2899,1.115,1.944,1.0312399256226477,0.818,1.106,0.9802867383512545,1.2616392801251957,0.991869918699187,0.3892701898878974
2015-07-23,4123.923,1.3199,1.116,1.984,1.0312958757976485,0.82,1.102,0.9802867383512545,1.2909820031298906,0.9895470383275261,0.3862074818636024
2015-07-24,4070.908,1.2983,1.118,1.951,1.0313518290082395,0.812,1.091,0.9802867383512545,1.2698552425665102,0.9709639953542393,0.38130714902473045
2015-07-27,3725.558,1.1921,1.118,1.812,1.031519706855203,0.826,1.081,0.9758064516129031,1.1659820031298904,0.9547038327526132,0.37824444100043536
2015-07-28,3663.002,1.1867,1.119,1.799,1.031575672209803,0.82,1.09,0.9758064516129031,1.1607003129890454,0.9744483159117305,0.3819196906295894
2015-07-29,3789.168,1.2233,1.12,1.862,1.0316316406008172,0.82,1.095,0.9767025089605734,1.1964984350547732,0.9907084785133565,0.38406358624659587
2015-07-30,3705.766,1.1886,1.12,1.818,1.0316876120284102,0.812,1.099,0.9775985663082436,1.1625586854460095,0.9930313588850174,0.3843698570490253
2015-07-31,3663.726,1.1865,1.12,1.817,1.0317435864927467,0.81,1.096,0.9793906810035841,1.160504694835681,0.9790940766550522,0.3843698570490253
2015-08-03,3622.905,1.1856,1.121,1.822,1.0319115281078646,0.819,1.096,0.9793906810035841,1.15962441314554,0.9628339140534262,0.3834510446417369
2015-08-04,3756.545,1.2231,1.121,1.881,1.031967514720823,0.815,1.094,0.978494623655914,1.1963028169014085,0.9581881533101044,0.3834510446417369
2015-08-05,3694.573,1.2035,1.122,1.862,1.0320235043713486,0.813,1.102,0.9793906810035841,1.1771322378716744,0.9558652729384436,0.3852886694563139
2015-08-06,3661.539,1.1939,1.123,1.852,1.0320794970596063,0.813,1.086,0.9793906810035841,1.1677425665101722,0.9628339140534262,0.3806946074198714
2015-08-07,3744.205,1.2187,1.124,1.888,1.0321354927857613,0.817,1.084,0.9793906810035841,1.1919992175273864,0.9523809523809523,0.3794695242101534
2015-08-10,3928.415,1.2753,1.125,1.964,1.0323034981932564,0.822,1.095,0.9802867383512545,1.2473591549295775,0.9721254355400697,0.38375731544416636
2015-08-11,3927.908,1.2704,1.124,1.965,1.0323595060726478,0.84,1.101,0.9946236559139785,1.242566510172144,0.9849012775842044,0.3871262942708909
2015-08-12,3886.32,1.2551,1.124,1.936,1.0324155169907603,0.868,1.123,1.0017921146953406,1.2276017214397497,1.0092915214866434,0.39263916871462196
2015-08-13,3954.556,1.2731,1.123,1.975,1.0324715309477588,0.864,1.133,1.0089605734767022,1.2452073552425664,1.0116144018583042,0.397539501553494
2015-08-14,3965.335,1.2748,1.123,1.97,1.0325275479438085,0.86,1.135,1.0089605734767022,1.2468701095461658,1.0092915214866434,0.3984583139607825
2015-08-17,3993.668,1.2772,1.124,1.993,1.032695617167912,0.862,1.143,1.0089605734767022,1.2492175273865413,1.005807200929152,0.4009084803802185
2015-08-18,3748.164,1.1963,1.125,1.868,1.0327516463218145,0.864,1.137,1.0098566308243726,1.1700899843505477,0.9988385598141696,0.3996833971705005
2015-08-19,3794.109,1.2161,1.125,1.895,1.0328076785155924,0.866,1.13,1.0116487455197132,1.1894561815336464,0.9767711962833914,0.39692695994863497
2015-08-20,3664.291,1.1777,1.125,1.833,1.0328637137494108,0.877,1.1,1.0080645161290323,1.151897496087637,0.959349593495935,0.3874325650733204
2015-08-21,3507.744,1.1253,1.126,1.747,1.0329197520234343,0.89,1.055,1.004480286738351,1.1006455399061033,0.9326364692218352,0.3748754621737108
2015-08-24,3209.905,1.0284,1.127,1.618,1.033087885088387,0.894,1.017,0.9982078853046595,1.005868544600939,0.8850174216027875,0.36109327606438324
2015-08-25,2964.967,0.9533,1.128,1.507,1.0331439355248815,0.89,1.014,0.9982078853046595,0.9324139280125197,0.8896631823461092,0.35986819285466526
2015-08-26,2927.288,0.9491,1.128,1.494,1.0331999890024064,0.884,1.068,0.9973118279569891,0.9283059467918624,0.9024390243902439,0.3733441081615633
2015-08-27,3083.591,1.0078,1.128,1.561,1.0332560455211264,0.876,1.099,1.003584229390681,0.985719874804382,0.9477351916376306,0.3806946074198714
2015-08-28,3232.35,1.0513,1.128,1.632,1.0333121050812064,0.876,1.098,1.007168458781362,1.0282668231611893,0.9651567944250871,0.38008206581501236
2015-08-31,3205.986,1.0554,1.129,1.612,1.033480302011258,0.877,1.083,1.0062724014336917,1.0322769953051643,0.9709639953542393,0.3754880037785698
2015-09-01,3166.624,1.0514,1.129,1.576,1.0335363737384289,0.881,1.049,1.0026881720430108,1.0283646322378717,0.9396051103368177,0.3647685256935373
2015-09-02,3160.167,1.0543,1.13,1.575,1.0335924485077852,0.882,1.069,0.9991039426523296,1.0312010954616588,0.9384436701509873,0.3718127541494158
2015-09-07,3080.42,1.0187,1.13,1.546,1.0338728679931235,0.867,1.069,0.9982078853046595,0.9963810641627543,0.9221835075493613,0.36721869211297326
2015-09-08,3170.452,1.0461,1.131,1.593,1.033928961019058,0.866,1.079,1.0008960573476702,1.023180751173709,0.934959349593496,0.37640681618585836
2015-09-09,3243.089,1.0667,1.131,1.626,1.0339850570883335,0.868,1.066,1.0026881720430108,1.043329420970266,0.9291521486643438,0.3715064833469863
2015-09-10,3197.893,1.0543,1.13,1.605,1.034041156201115,0.856,1.078,1.003584229390681,1.0312010954616588,0.9279907084785134,0.3751817329761403
2015-09-11,3200.234,1.0511,1.13,1.607,1.0340972583575676,0.857,1.083,1.004480286738351,1.0280712050078247,0.9210220673635309,0.37793817019800585
2015-09-14,3114.798,1.0282,1.131,1.539,1.0342655830906033,0.855,1.079,1.0053763440860215,1.0056729264475743,0.9186991869918699,0.37671308698828787
2015-09-15,3005.172,0.9882,1.131,1.463,1.0343216974233918,0.856,1.09,1.004480286738351,0.9665492957746479,0.9256678281068526,0.3803883366174418
2015-09-16,3152.263,1.0382,1.132,1.535,1.0343778148006773,0.856,1.096,1.0080645161290323,1.015453834115806,0.9500580720092915,0.38253223223444843
2015-09-17,3086.061,1.0165,1.133,1.503,1.0344339352226246,0.865,1.095,1.0107526881720428,0.9942292644757433,0.9500580720092915,0.38253223223444843
2015-09-18,3097.917,1.0223,1.133,1.513,1.0344900586893993,0.87,1.08,1.0116487455197132,0.9999021909233177,0.9279907084785134,0.3770193577907174
2015-09-21,3156.54,1.0409,1.133,1.546,1.0346584473603389,0.878,1.084,1.0143369175627237,1.0180946791862284,0.9291521486643438,0.37916325340772383
2015-09-22,3185.619,1.0521,1.133,1.557,1.0347145830080746,0.876,1.069,1.015232974910394,1.029049295774648,0.9140534262485482,0.3751817329761403
2015-09-23,3115.888,1.0275,1.133,1.532,1.0347707217014637,0.873,1.07,1.0143369175627237,1.0049882629107982,0.9059233449477352,0.3754880037785698
2015-09-24,3142.687,1.0353,1.133,1.546,1.0348268634406712,0.878,1.067,1.0143369175627237,1.012617370892019,0.9012775842044135,0.3742629205688518
